scouter,pathDrawer,eventCode,matchLevel,matchNumber,robot,teamNumber,Auto Location,Auto Action,Auto Amp Makes,Auto Amp Misses,Auto Speaker Scores,Auto Speaker Misses,Speaker Score,Speaker Misses,Scoring Location,Bumper Only Scoring,Amp Scores,Amp Misses,Notes Shuttled,Defense Played,Defense Location,Penalties,Stage Travel,Paths,Parked,Onstage,Chain Position,Trap,Damaged,Died or Immobilized,Note Stuck,comments,Drivetype
,0.0,TEST1,qm,26.0,r3,7457.0,ifsas,o,0.0,,1.0,1.0,2.0,3.0,n,0.0,2.0,0.0,0.0,0.0,,0.0,n,,0.0,o,,,,,,,
Jib,0.0,TEST1,qm,27.0,b2,4272.0,insm,punz,0.0,,3.0,1.0,4.0,2.0,b,0.0,3.0,0.0,0.0,0.0,,0.0,n,,0.0,x,,,,,,,
JP,0.0,TEST,qm,22.0,r1,8430.0,bsss,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,4.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,Drops notes a lot,swv
JP,0.0,TEST,qm,23.0,r2,3559.0,insas,sz,0.0,,0.0,0.0,2.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,Slow,oth
JP,0.0,TEST,qm,25.0,r3,8430.0,insm,sz,0.0,,0.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,0.0,ao,0.0,bh,,1.0,x,side,0.0,,0.0,0.0,,swv
FOO,0.0,TEST1,qm,23.0,r1,1720.0,bsss,sz,0.0,,0.0,1.0,0.0,0.0,n,0.0,0.0,0.0,5.0,0.0,n,0.0,n,,0.0,o,mid,0.0,,0.0,0.0,Doesn't attempt to score,swv
ZD,0.0,TEST1,qm,23.0,b2,8564.0,ifsas,no,0.0,,1.0,0.0,2.0,4.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,bl,,0.0,x,side,0.0,,0.0,0.0,Didn't do anything really well,swv
ZD,0.0,TEST1,qm,22.0,b3,8116.0,bsss,no,0.0,,0.0,0.0,1.0,4.0,ne,1.0,0.0,0.0,0.0,0.0,nos,0.0,bl,,0.0,o,side,0.0,,0.0,0.0,Good defense bot,swv
FOO,0.0,TEST1,qm,19.0,r1,7454.0,insas,sz,0.0,,0.0,1.0,3.0,0.0,ne,0.0,2.0,0.0,0.0,0.0,n,0.0,n,,1.0,x,side,0.0,,0.0,0.0,"Slow, only source pick ups",swv
FOO,0.0,TEST1,qm,46.0,b2,234.0,insm,punz,0.0,,2.0,0.0,7.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,Slow movement,swv
JP,0.0,TEST,qm,7457.0,r3,26.0,ifsas,puncl,0.0,,1.0,1.0,3.0,3.0,f,0.0,2.0,0.0,0.0,0.0,n,0.0,rd,,0.0,o,mid,0.0,,0.0,0.0,,swv
JP,0.0,TEST,qm,24.0,b2,4272.0,bas,no,0.0,,0.0,0.0,2.0,1.0,f,0.0,2.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,,swv
ZD,0.0,TEST1,qm,27.0,r2,8564.0,bsss,no,0.0,,0.0,1.0,0.0,1.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,0.0,x,side,0.0,,0.0,0.0,Doesn't look very good no movement ,swv
Jib,0.0,TEST1,qm,27.0,b2,4272.0,insm,punz,0.0,,3.0,1.0,4.0,2.0,b,0.0,3.0,0.0,0.0,0.0,,0.0,n,,0.0,x,,,,,,,
Jib,0.0,TEST1,qm,27.0,b2,4272.0,insm,punz,0.0,,3.0,1.0,4.0,2.0,n,0.0,3.0,0.0,0.0,0.0,,0.0,n,,0.0,x,,,,,,,
CSC,0.0,2024week0,qm,23.0,b1,7657.0,insm,punz,0.0,,1.0,1.0,1.0,0.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,Slow movement,swv
CSC,0.0,2024week0,qm,20.0,r2,7657.0,insm,punz,0.0,,1.0,0.0,1.0,0.0,ne,1.0,0.0,0.0,0.0,1.0,nos,0.0,n,,0.0,o,side,0.0,,0.0,0.0,Capable of harmony,swv
CSC,0.0,2024week0,qm,18.0,r1,4926.0,bas,punz,0.0,,1.0,0.0,1.0,0.0,ne,1.0,0.0,0.0,0.0,0.0,n,0.0,rd,,1.0,x,side,0.0,,1.0,0.0,Innefective movement,oth
DSM,0.0,TESTCOL,qm,26.0,b3,9153.0,bsss,sz,0.0,,0.0,0.0,0.0,1.0,n,1.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,mid,0.0,,0.0,0.0,barely able to drive,oth
DSM,0.0,TESTCOL,qm,23.0,r3,9453.0,bas,sz,0.0,,0.0,0.0,0.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,mid,0.0,,0.0,0.0,,oth
DSM,0.0,TESTCOL,qm,19.0,b3,9491.0,bsss,sz,0.0,,0.0,0.0,1.0,1.0,ne,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,mid,0.0,,0.0,0.0,slow to feed and bad take long to speaker,oth
PJH,0.0,2024week,sf,4.0,b1,234.0,bas,punz,0.0,,1.0,0.0,0.0,0.0,n,0.0,0.0,0.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,1.0,,swv
LF,0.0,2024week0,sf,1.0,b1,234.0,ifsas,punz,0.0,,1.0,0.0,0.0,0.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,0.0,,oth
JLD ,0.0,2024week0,qm,4.0,b1,234.0,ifsas,no,0.0,,0.0,0.0,1.0,0.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,n,,0.0,a,side,0.0,,0.0,0.0,,swv
Cmh,0.0,2024week0,f,4.0,b1,234.0,bas,punz,0.0,,0.0,0.0,0.0,1.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,bh,,1.0,a,side,0.0,,0.0,1.0,,oth
EB,0.0,2024week0,sf,1.0,b1,234.0,ifsas,punz,0.0,,1.0,0.0,0.0,1.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,n,,1.0,a,side,0.0,,0.0,1.0,,oth
Olm,0.0,2024week0,qm,6.0,r1,234.0,ifsas,no,0.0,,0.0,0.0,3.0,1.0,ne,0.0,1.0,0.0,0.0,1.0,n,0.0,n,,1.0,x,mid,0.0,,0.0,0.0,,swv
AC,0.0,Smoky,qm,6.0,b1,234.0,bas,punz,0.0,,0.0,0.0,0.0,1.0,n,0.0,0.0,1.0,0.0,0.0,n,0.0,bh,,1.0,a,side,0.0,,0.0,1.0,Not good,swv
CSC,0.0,2024week0,qm,4.0,b1,234.0,bas,punz,0.0,,0.0,0.0,0.0,1.0,n,0.0,0.0,1.0,0.0,1.0,nos,0.0,bh,,1.0,a,side,0.0,,0.0,1.0,,oth
DKE,0.0,2024week0,qm,4.0,b1,58.0,ifsas,sz,0.0,,0.0,0.0,1.0,1.0,f,0.0,0.0,1.0,0.0,1.0,oth,0.0,n,,1.0,a,side,0.0,,0.0,1.0,,swv
