scouter,matchLevel,matchNumber,robot,teamNumber,autoStartingLocation,autoLeave,Auto Amp Scores,Auto Amp Misses,Auto Speaker Scores,Auto Speaker Misses,Near Score,Near Miss,Far Score,Far Miss,Amp Scores,Amp Misses,Pickup Type,Final Status,Chain Position,Trap,High Note Attempt,High Note Scored,driverSkill,defenseRating,speedRating,Died or Immobilized,Tippy,Note Stuck,comments,Penalties
DKE,qm,49,r2,3865,[60],1,0,0,0,0,0,0,0,0,0,0,x,p,side,0,0,0,v,e,4,0,0,0,Good at moving notes,0.0
JP,qm,50,r1,9554,[24],0,0,0,0,0,0,0,0,0,1,0,s,p,side,0,0,0,n,x,1,0,0,0,"Can only pick up from source, and note kept falling out",
JLD ,qm,50,b1,4272,[13],1,0,0,3,0,0,0,5,1,2,0,s,x,side,0,0,0,v,x,4,0,0,0,,
ACH,qm,50,b3,328,[1],1,0,0,0,0,0,0,0,0,4,0,b,a,mid,0,0,0,a,x,3,0,0,0,Not sure exactly how many amp scores they got,
JLD ,qm,51,r2,135,[12],1,0,0,1,0,6,2,0,0,0,0,f,o,side,0,0,0,v,x,3,0,0,0,,
CDE,qm,51,b1,6721,[25],1,0,0,0,1,3,0,0,0,0,0,f,h,side,0,1,0,a,g,3,0,1,0,Very top heavy so quick stops make it tip forard,
CSC,qm,52,b1,1555,[49],1,0,0,0,0,1,0,0,0,0,0,f,a,side,0,0,0,n,a,3,0,1,0,Was dead for most of match,0.0
CMH,qm,53,b3,2867,[13],1,0,0,0,0,6,0,0,0,0,0,f,o,mid,0,1,0,a,x,2,0,0,0,,
CMC,qm,53,r1,8103,[24],1,0,0,2,0,7,0,0,0,0,0,f,o,side,0,0,0,v,g,4,0,0,0,Very consistent shots with a quick floor intake,0.0
CDE,qm,54,b2,6721,[37],1,0,0,0,0,1,0,0,0,0,0,b,o,side,0,1,0,a,a,3,0,1,0,Penalty is yellow also still top heavy,1.0
KS,qm,56,r2,328,[12],0,0,0,0,0,0,0,0,0,3,1,f,o,mid,0,0,0,a,x,3,0,0,0,uncoordinated,
CMC,qm,56,b3,8103,[13],1,0,0,1,0,5,0,0,0,0,0,f,o,side,0,0,0,,g,3,0,0,0,A little slower than last time but mostly the same,0.0
